TckrSymb,year,average_year_traded_volume
AALR3,2016,10093822.395348838
AALR3,2017,4730266.4959349595
AALR3,2018,2748150.1387755102
AALR3,2019,2888597.3427419355
AALR3,2020,7964304.441767069
AALR3,2021,13264252.761133604
AALR3,2022,7479290.497109827
AALR3F,2016,38296.766500000005
AALR3F,2017,3622.992633744856
AALR3F,2018,3587.7390456431535
AALR3F,2019,22975.810927419356
AALR3F,2020,91358.28903614458
AALR3F,2021,88373.49558704454
AALR3F,2022,35207.51393063584
ABCB4,2015,1848308.4390243902
ABCB4,2016,2434078.393574297
ABCB4,2017,6773460.215447155
ABCB4,2018,6078643.6081632655
ABCB4,2019,9866248.004032258
ABCB4,2020,13061036.831325302
ABCB4,2021,13845880.538461538
ABCB4,2022,12617790.398843931
ABCB4F,2015,2706.3931535269708
ABCB4F,2016,3849.2414457831323
ABCB4F,2017,12119.160365853659
ABCB4F,2018,22618.877632653064
ABCB4F,2019,84610.42564516129
ABCB4F,2020,215331.96654618473
ABCB4F,2021,185521.98380566802
ABCB4F,2022,132474.54028901734
AERI3,2020,24732269.29411765
AERI3,2021,36898967.49392713
AERI3,2022,9440414.722543353
AERI3F,2020,309337.87941176473
AERI3F,2021,470127.09975708503
AERI3F,2022,58898.026300578036
AESB3,2021,17470053.994736843
AESB3,2022,13988338.156069364
AESB3F,2021,356196.24342105264
AESB3F,2022,238529.28965317918
AFLT3,2015,5933.24
AFLT3,2016,4894.758620689655
AFLT3,2017,3024.353846153846
AFLT3,2018,4667.525641025641
AFLT3,2019,152423.16990291263
AFLT3,2020,52685.933333333334
AFLT3,2021,17670.314159292036
AFLT3,2022,8136.474452554745
AFLT3F,2015,111.36954545454546
AFLT3F,2016,94.48
AFLT3F,2017,119.59536585365854
AFLT3F,2018,153.63225
AFLT3F,2019,16647.825532994924
AFLT3F,2020,3971.5956224899596
AFLT3F,2021,1950.8820242914978
AFLT3F,2022,666.8126470588235
AGXY3,2021,2450773.0733944955
AGXY3,2022,875944.4508670521
AGXY3F,2021,16086.01394495413
AGXY3F,2022,3137.346107784431
AHEB3,2015,4904.5
AHEB3,2016,4403.166666666667
AHEB3,2017,22452.0
AHEB3,2018,27580.64285714286
AHEB3,2019,17332.090909090908
AHEB3,2020,45353.62857142857
AHEB3,2021,18428.753086419754
AHEB3,2022,4619.4
AHEB3F,2015,397.5
AHEB3F,2016,1000.0
AHEB3F,2017,888.201
AHEB3F,2018,1575.5584615384616
AHEB3F,2019,1133.4363768115943
AHEB3F,2020,14088.324690265486
AHEB3F,2021,2391.0753896103897
AHEB3F,2022,353.73812499999997
AHEB5,2016,2949.0
AHEB5,2017,7872.625
AHEB5,2019,4701.0
AHEB5,2020,4210.666666666667
AHEB5,2021,4570.857142857143
AHEB5F,2015,293.09000000000003
AHEB5F,2017,937.48
AHEB5F,2018,352.875
AHEB5F,2019,258.69666666666666
AHEB5F,2020,515.0215384615384
AHEB5F,2021,654.5438235294118
AHEB5F,2022,25.104285714285712
AHEB6,2015,3990.0
AHEB6,2016,2716.0
AHEB6,2017,6297.375
AHEB6,2018,12774.0
AHEB6,2020,6910.272727272727
AHEB6,2021,6970.727272727273
AHEB6,2022,7140.0
AHEB6F,2015,72.88
AHEB6F,2016,582.55
AHEB6F,2017,793.4
AHEB6F,2018,513.3333333333334
AHEB6F,2019,353.64
AHEB6F,2020,7022.986842105263
AHEB6F,2021,860.0879487179487
AHEB6F,2022,757.9665
ALPA3,2015,294632.60204081633
ALPA3,2016,101327.7684729064
ALPA3,2017,53991.106280193235
ALPA3,2018,49896.97584541063
ALPA3,2019,90775.07786885246
ALPA3,2020,161734.65725806452
ALPA3,2021,141722.1862348178
ALPA3,2022,98964.95375722543
ALPA3F,2015,541.8197468354431
ALPA3F,2016,516.7210126582279
ALPA3F,2017,834.1285294117647
ALPA3F,2018,798.9724623115577
ALPA3F,2019,4448.05918699187
ALPA3F,2020,11877.343534136546
ALPA3F,2021,12887.066315789472
ALPA3F,2022,6494.207456647398
ALPA4,2015,4170461.5406504064
ALPA4,2016,5070323.144578313
ALPA4,2017,10030076.56910569
ALPA4,2018,9081928.787755102
ALPA4,2019,22160765.758064516
ALPA4,2020,71201185.04819277
ALPA4,2021,93178289.18623482
ALPA4,2022,88360894.73410405
ALPA4F,2015,3385.4424390243903
ALPA4F,2016,3378.44859437751
ALPA4F,2017,5869.707357723577
ALPA4F,2018,11249.62606557377
ALPA4F,2019,68797.64721774195
ALPA4F,2020,272687.2661044177
ALPA4F,2021,397291.30206477735
ALPA4F,2022,206134.4900578035
ALPK3,2020,1478616.487341772
ALPK3,2021,284314.6963562753
ALPK3,2022,406696.72832369944
ALPK3F,2020,13762.128354430379
ALPK3F,2021,5896.550242914979
ALPK3F,2022,3335.31225433526
AMAR3,2015,1102318.1910569107
AMAR3,2016,739352.7620967742
AMAR3,2017,4094819.5691056913
AMAR3,2018,4379878.473469388
AMAR3,2019,10339086.189516129
